DUID,STATION,TECHNOLOGY,HEATRATE_GJ_PER_MWH
GSWF1B,Goyder South Wind Farm 1B,Wind,0.00
HD1WF1,Hawkesdale Wind Farm,Wind,0.00
KABANWF1,Kaban Green Power Hub - Wind Farm,Wind,0.00
KEPWF1,Kennedy Energy Park Wind Farm,Wind,0.00
MacIntyre Wind Farm,MacIntyre Wind Farm,Wind,0.00
MTGELWF1,Mt Gellibrand Wind Farm,Wind,0.00
RYANCWF1,Ryan Corner Wind Farm,Wind,0.00
Rye Park Wind Farm,Rye Park Wind Farm,Wind,0.00
Wambo Wind Farm,Wambo Wind Farm,Wind,0.00
Aldoga Solar Farm,Aldoga Solar Farm,Large scale Solar PV,0.00
Aramara Solar Farm,Aramara Solar Farm,Large scale Solar PV,0.00
Banksia Solar Farm,Banksia Solar Farm,Large scale Solar PV,0.00
Derby Solar Farm,Derby Solar Farm,Large scale Solar PV,0.00
Frasers Solar Farm,Frasers Solar Farm,Large scale Solar PV,0.00
Goulburn River Solar Farm,Goulburn River Solar Farm,Large scale Solar PV,0.00
Horsham Solar Farm,Horsham Solar Farm,Large scale Solar PV,0.00
Maryvale Solar Farm,Maryvale Solar Farm,Large scale Solar PV,0.00
Mortlake Energy Hub Solar Farm,Mortlake Energy Hub Solar Farm,Large scale Solar PV,0.00
Munna Creek Solar Farm,Munna Creek Solar Farm,Large scale Solar PV,0.00
New England Solar Farm 2,New England Solar Farm - Stage 2,Large scale Solar PV,0.00
Punch's Creek Renewable Energy Solar Farm,Punch's Creek Renewable Energy Solar Farm,Large scale Solar PV,0.00
GBWF1,Gawara Baya Wind Farm,Wind,0.00
Uungula Wind Farm,Uungula Wind Farm,Wind,0.00
Woolsthorpe Wind Farm,Woolsthorpe Wind Farm,Wind,0.00
BALB1,Ballarat Energy Storage System,Battery storage (1hr storage),0.00
BOWWBA1,Bolivar Waste Water Treatment BESS,Battery storage (2hrs storage),0.00
BBATTERY,Bouldercombe Battery project,Battery storage (2hrs storage),0.00
BULBES1,Bulgana Green Power Hub BESS,Battery storage (2hrs storage),0.00
DALNTH1,Dalrymple BESS,Battery storage (1hr storage),0.00
DPNTB1,Darlington Point Energy Storage System,Battery storage (2hrs storage),0.00
GANNB1,Gannawarra Energy Storage System,Battery storage (2hrs storage),0.00
HVWWBA1,Happy Valley Reservoir BESS,Battery storage (2hrs storage),0.00
HPR1,Hornsdale Power Reserve Unit 1,Battery storage (1hr storage),0.00
LBBG1,Lake Bonney BESS,Battery storage (2hrs storage),0.00
PIBESS1,Philip Island BESS,Battery storage (2hrs storage),0.00
QBYNB1,Queanbeyan BESS,Battery storage (2hrs storage),0.00
RANGEB1,Rangebank BESS,Battery storage (2hrs storage),0.00
RESS1G,Riverina Energy Storage System 1,Battery storage (2hrs storage),0.00
RIVNB2,Riverina Energy Storage System 2,Battery storage (2hrs storage),0.00
VBB1,Victorian Big Battery,Battery storage (2hrs storage),0.00
WALGRV1,Wallgrove Grid Battery project,Battery storage (2hrs storage),0.00
WANDB1,Wandoan South BESS,Battery storage (2hrs storage),0.00
ADPBA1,Adelaide Desalination Plant BESS,Battery storage (2hrs storage),0.00
BLYTHB1,Blyth BESS,Battery storage (2hrs storage),0.00
BHBG1,Broken Hill BESS,Battery storage (1hr storage),0.00
CAPBES1,Capital Battery,Battery storage (2hrs storage),0.00
CHBESSG1,Chinchilla BESS,Battery storage (2hrs storage),0.00
CBWWBA1,Christies Beach Wastewater Treatment Plant BESS,Battery storage (2hrs storage),0.00
Clements Gap BESS,Clements Gap BESS,Battery storage (2hrs storage),0.00
Eraring Big Battery,Eraring Big Battery,Battery storage (2hrs storage),0.00
GREENB1,Greenbank BESS,Battery storage (2hrs storage),0.00
HBESS1,Hazelwood BESS,Battery storage (1hr storage),0.00
Koorangie Energy Storage System,Koorangie Energy Storage System,Battery storage (2hrs storage),0.00
LaTrobe Valley BESS,LaTrobe Valley BESS,Battery storage (2hrs storage),0.00
Liddell BESS,Liddell BESS,Battery storage (4hrs storage),0.00
Lockhart Hybrid Facility - Battery,Lockhart Hybrid Facility - Battery,Battery storage (2hrs storage),0.00
Melbourne Renewable Energy Hub - Side A,Melbourne Renewable Energy Hub - Side A,Battery storage (2hrs storage),0.00
QPBESS,Quorn Park BESS,Battery storage (2hrs storage),0.00
TB2BG1,Tailem Bend Battery Project,Battery storage (2hrs storage),0.00
Tarong BESS,Tarong BESS,Battery storage (1hr storage),0.00
Templers BESS,Templers BESS,Battery storage (2hrs storage),0.00
TIB1,Torrens Island BESS,Battery storage (1hr storage),0.00
ULBESS,Ulinda Park BESS,Battery storage (2hrs storage),0.00
WTAHB1,Waratah Super Battery,Battery storage (2hrs storage),0.00
WDBESS1,Western Downs Battery,Battery storage (1hr storage),0.00
Aldoga BESS Stage 1,Aldoga BESS Stage 1,Battery storage (1hr storage),0.00
Brendale BESS,Brendale BESS,Battery storage (2hrs storage),0.00
Bungama Solar BESS,Bungama Solar BESS,Battery storage (2hrs storage),0.00
Eraring Big Battery 2,Eraring Big Battery 2,Battery storage (2hrs storage),0.00
GBBATT1,Gawara Baya Wind Farm BESS,Battery storage (2hrs storage),0.00
Gnarwarre BESS,Gnarwarre BESS,Battery storage (2hrs storage),0.00
Limondale BESS,Limondale BESS,Battery storage (8hrs storage),0.00
LGAPBS1,Lincoln Gap Wind Farm BESS,Battery storage (1hr storage),0.00
Mannum BESS,Mannum BESS,Battery storage (2hrs storage),0.00
Maryvale Solar Farm BESS,Maryvale Solar Farm BESS,Battery storage (2hrs storage),0.00
Mortlake Battery,Mortlake Battery,Battery storage (2hrs storage),0.00
Mortlake Energy Hub BESS,Mortlake Energy Hub BESS,Battery storage (2hrs storage),0.00
Mt Fox BESS,Mt Fox BESS,Battery storage (2hrs storage),0.00
New England Solar Farm BESS,New England Solar Farm BESS,Battery storage (1hr storage),0.00
ORANA,Orana BESS,Battery storage (4hrs storage),0.00
Richmond Valley BESS,Richmond Valley BESS,Battery storage (8hrs storage),0.00
Silver City Energy Storage,Silver City Energy Storage,Battery storage (8hrs storage),0.00
Smithfield BESS,Smithfield BESS,Battery storage (2hrs storage),0.00
Stanwell BESS,Stanwell BESS,Battery storage (2hrs storage),0.00
Swanbank BESS,Swanbank BESS,Battery storage (2hrs storage),0.00
TRGBESS,Terang BESS,Battery storage (2hrs storage),0.00
Wooreen Energy Storage System,Wooreen Energy Storage System,Battery storage (4hrs storage),0.00
Kogan Gas,Brigalow GT,OCGT,10.93
Fulham Solar Farm,Fulham Solar Farm,Large scale Solar PV,0.00
Solar River Solar Farm,Solar River Solar Farm,Large scale Solar PV,0.00
Coppabella Wind Farm,Coppabella Wind Farm,Wind,0.00
Derby Solar Project BESS,Derby Solar Project BESS,Battery storage (2hrs storage),0.00
Fulham Solar Farm BESS,Fulham Solar Farm BESS,Battery storage (1hr storage),0.00
Goulburn River BESS,Goulburn River BESS,Battery storage (8hrs storage),0.00
Hallett BESS,Hallett BESS,Battery storage (4hrs storage),0.00
Horsham Solar Farm BESS,Horsham Solar Farm BESS,Battery storage (2hrs storage),0.00
Limestone Coast West BESS,Limestone Coast West BESS,Battery storage (2hrs storage),0.00
Solar River Solar Farm BESS,Solar River Solar Farm BESS,Battery storage (4hrs storage),0.00
Springvale Energy Hub BESS,Springvale Energy Hub BESS,Battery storage (2hrs storage),0.00
Mornington BESS,Mornington BESS,Battery storage (2hrs storage),0.00
Tamworth BESS,Tamworth BESS,Battery storage (2hrs storage),0.00
Tamworth BESS 2,Tamworth BESS,Battery storage (2hrs storage),0.00
QEJP - Borumba,QEJP - Borumba,Pumped Hydro (24hrs storage),0.00
Broadsound BESS,Broadsound BESS,Battery storage (2hrs storage),0.00
Calala BESS 1,Calala BESS 1,Battery storage (2hrs storage),0.00
Calala BESS 2,Calala BESS 2,Battery storage (2hrs storage),0.00
Glanmire Solar Farm BESS,Glanmire Solar Farm BESS,Battery storage (2hrs storage),0.00
Ravenswood BESS,Ravenswood BESS,Battery storage (4hrs storage),0.00
Bullyard Solar Farm,Bullyard Solar Farm,Large scale Solar PV,0.00
Glanmire Solar Farm,Glanmire Solar Farm,Large scale Solar PV,0.00
Ravenswood Solar Farm,Ravenswood Solar Farm,Large scale Solar PV,0.00
Lockyer Valley GT,Lockyer Valley GT,OCGT,10.65
Boulder Creek Wind Farm,Boulder Creek Wind Farm,Wind,0.00
Inverleigh Wind Farm,Inverleigh Wind Farm,Wind,0.00
Port Latta Wind Farm,Port Latta Wind Farm,Wind,0.00
Valley of the Winds Wind Farm,Valley of the Winds,Wind,0.00
Woolooga BESS,Woolooga BESS,Battery storage (2hrs storage),0.00
Supernode BESS 1,Supernode BESS 1,Battery storage (4hrs storage),0.00
Supernode BESS 2,Supernode BESS 2,Battery storage (4hrs storage),0.00
Golden Plains West Wind Farm,Golden Plains West Wind Farm,Wind,0.00
Lotus Creek Wind Farm,Lotus Creek Wind Farm,Wind,0.00
Barnawartha Solar Farm BESS,Barnawartha Solar Farm BESS,Battery storage (2hrs storage),0.00
Barwon Solar Farm BESS,Barwon Solar Farm BESS,Battery storage (2hrs storage),0.00
Bungama BESS,Bungama BESS,Battery storage (2hrs storage),0.00
Elaine Solar Farm BESS,Elaine Solar Farm BESS,Battery storage (2hrs storage),0.00
Ganymirra Solar Power Station BESS,Ganymirra Solar Power Station BESS,Battery storage (2hrs storage),0.00
Junction Rivers Wind Farm BESS,Junction Rivers Wind Farm BESS,Battery storage (4hrs storage),0.00
Majors Creek Solar Power Station BESS,Majors Creek Power Station BESS,Battery storage (4hrs storage),0.00
West Mokoan Solar Farm BESS,West Mokoan Solar Farm BESS,Battery storage (4hrs storage),0.00
Griffith BESS,Griffith BESS,Battery storage (8hrs storage),0.00
Stoney Creek BESS,Stoney Creek BESS,Battery storage (8hrs storage),0.00
Barnawartha Solar Farm,Barnawartha Solar Farm,Large scale Solar PV,0.00
Barwon Solar Farm,Barwon Solar Farm,Large scale Solar PV,0.00
Campbells Forest Solar Farm,Campbells Forest Solar Farm,Large scale Solar PV,0.00
Elaine Solar Farm,Elaine Solar Farm,Large scale Solar PV,0.00
Ganymirra Solar Power Station,Ganymirra Solar Power Station,Large scale Solar PV,0.00
Hopeland Solar Farm,Hopeland Solar Farm,Large scale Solar PV,0.00
Majors Creek Solar Power Station,Majors Creek Power Station,Large scale Solar PV,0.00
Sandy Creek Solar Farm,Sandy Creek Solar Farm,Large scale Solar PV,0.00
Sandy Creek BESS,Sandy Creek BESS,Battery storage (4hrs storage),0.00
West Mokoan Solar Farm,West Mokoan Solar Farm,Large scale Solar PV,0.00
Phoenix Pumped Hydro Project,Phoenix Pumped Hydro Project,Pumped Hydro (10hrs storage),0.00
Goyder North Wind Farm,Goyder North Wind Farm,Wind,0.00
Junction Rivers Wind Farm,Junction Rivers Wind Farm,Wind,0.00
Kentbruck Green Power Hub Wind Farm,Kentbruck Green Power Hub Wind Farm,Wind,0.00
Palmer Wind Farm,Palmer Wind Farm,Wind,0.00
Spicers Creek Wind Farm,Spicers Creek Wind Farm,Wind,0.00
Thunderbolt Wind Farm,Thunderbolt Wind Farm,Wind,0.00
Haughton Solar Farm Stage 2,Haughton Solar Farm Stage 2,Large scale Solar PV,0.00
Lancaster Solar Farm,Lancaster Solar Farm,Large scale Solar PV,0.00
Bennetts Creek BESS,Bennetts Creek BESS,Battery storage (2hrs storage),0.00
Northern Midlands Solar Farm,Northern Midlands Solar Farm,Large scale Solar PV,0.00
Hay Sun Farm,Hay Sun Farm,Large scale Solar PV,0.00
MOKOSF1,Mokoan Solar Farm,Large scale Solar PV,0.00
Kiamal BESS,Kiamal BESS,Battery storage (4hrs storage),0.00
Pine Lodge BESS,Pine Lodge BESS,Battery storage (2hrs storage),0.00
